project,target,configuration,hash,code,status,start,end
my-utils,build,,13533725147761167132,0,success,1722142003360,1722142004235
my-app,build,,3026618211287621556,0,success,1722142010668,1722142016395
my-utils,build,,13533725147761167132,0,success,1722142054739,1722142055439
my-app,build,,3026618211287621556,0,success,1722142054739,1722142063000
my-utils,build,,4057401263958955875,0,success,1722142185968,1722142186654
my-app,build,,3236761303718555464,0,success,1722142186655,1722142194413
my-utils,build,,4057401263958955875,0,local-cache,1722142195895,1722142195913
my-app,build,,3236761303718555464,0,local-cache,1722142195914,1722142195966
my-utils,build,,1035326183698987579,0,success,1722142228456,1722142229184
my-app,build,,1941440034253594111,0,success,1722142229185,1722142236056
